"Time","{endpoint=""web"", handler=""/searches/"", instance=""10.1.0.124:8500"", job=""bet-data-service"", method=""GET"", namespace=""dsbd"", pod=""bet-data-service-777766c6b7-4dpr6"", service=""bet-data-service"", status=""2xx""}"
2022-01-30 23:03:30,0.190
2022-01-30 23:04:00,0.191
2022-01-30 23:04:30,0.191
2022-01-30 23:05:00,0.191
2022-01-30 23:05:30,0.190
2022-01-30 23:06:00,0.190
2022-01-30 23:06:30,0.190
2022-01-30 23:07:00,0.189
2022-01-30 23:07:30,0.189
2022-01-30 23:08:00,0.189
2022-01-30 23:08:30,0.188
2022-01-30 23:09:00,0.187
2022-01-30 23:09:30,0.188
2022-01-30 23:10:00,0.188
2022-01-30 23:10:30,0.187
2022-01-30 23:11:00,0.188
2022-01-30 23:11:30,0.189
2022-01-30 23:12:00,0.188
2022-01-30 23:12:30,0.187
2022-01-30 23:13:00,0.187
2022-01-30 23:13:30,0.186
2022-01-30 23:14:00,0.186
2022-01-30 23:14:30,0.185
2022-01-30 23:15:00,0.185
2022-01-30 23:15:30,0.185
2022-01-30 23:16:00,0.183
2022-01-30 23:16:30,0.183
2022-01-30 23:17:00,0.182
2022-01-30 23:17:30,0.182
2022-01-30 23:18:00,0.183
2022-01-30 23:18:30,0.184
2022-01-30 23:19:00,0.184
2022-01-30 23:19:30,0.183
2022-01-30 23:20:00,0.183
2022-01-30 23:20:30,0.183
2022-01-30 23:21:00,0.183
2022-01-30 23:21:30,0.182
2022-01-30 23:22:00,0.182
2022-01-30 23:22:30,0.181
2022-01-30 23:23:00,0.181
2022-01-30 23:23:30,0.181
2022-01-30 23:24:00,0.182
2022-01-30 23:24:30,0.182
2022-01-30 23:25:00,0.182
2022-01-30 23:25:30,0.181
2022-01-30 23:26:00,0.181
2022-01-30 23:26:30,0.182
2022-01-30 23:27:00,0.183
2022-01-30 23:27:30,0.183
2022-01-30 23:28:00,0.182
2022-01-30 23:28:30,0.181
2022-01-30 23:29:00,0.181
2022-01-30 23:29:30,0.180
2022-01-30 23:30:00,0.180
2022-01-30 23:30:30,0.180
2022-01-30 23:31:00,0.180
2022-01-30 23:31:30,0.180
2022-01-30 23:32:00,0.182
2022-01-30 23:32:30,0.182
2022-01-30 23:33:00,0.182
2022-01-30 23:33:30,0.183
2022-01-30 23:34:00,0.184
2022-01-30 23:34:30,0.184
2022-01-30 23:35:00,0.184
2022-01-30 23:35:30,0.185
2022-01-30 23:36:00,0.185
2022-01-30 23:36:30,0.183
2022-01-30 23:37:00,0.183
2022-01-30 23:37:30,0.183
2022-01-30 23:38:00,0.184
2022-01-30 23:38:30,0.184
2022-01-30 23:39:00,0.185
2022-01-30 23:39:30,0.185
2022-01-30 23:40:00,0.186
2022-01-30 23:40:30,0.186
2022-01-30 23:41:00,0.187
2022-01-30 23:41:30,0.185
